Qty,Value,Device,Package,Parts,MFG Part,Supplied QTY,Total Components
2,0.001,R-US_R1210,R1210,"R6, R7",?PMR25HZPFV1L00?,50,65
8,.1 uF 10v,C-USC0402K,C0402K,"C18, C27, C31, C32, C33, C34, C41, VREFCAP",?CL05A104MP5NNNC,130,
2,.1 uF 50v,C-USC0603K,C0603K,"C2, C4",?CC0603JRX7R9BB104?,100,
3,1 uF 10v,C-USC0402K,C0402K,"C7, C10, MC1",?CL05A105MP5NNNC?,100,
1,1 uF 50v,C-USC0603K,C0603K,C6,?CL10A105KB8NNNC?,100,
17,10 uF 50v,C-USC1206K,C1206K,"C1, C8, C11, C12, C13, C14, C15, C16, C17, C21, C22, C23, C24, C25, C26, C28, C29",GRT31CR61H106ME01L,200,
4,10k 1%,R-US_R0402,R0402,"R2, R3, R4 R27",?RT0402DRE0710KL?,100,
1,150k 1%,R-US_R0402,R0402,R26,?RMCF0402FT150K?,100,
2,200,R-US_R0402,R0402,"R5, R22",?RC0402JR-07200RL?,100,
3,22 uF 10v,C-USC0603K,C0603K,"C3, C19, C20",?CL10A226MPCNUBE?,60,
1,22uH,SDR0302,SDR0302,L1,?NRH3012T220MN?,50,
1,4.7 uF 10v,C-USC0402K,C0402K,C9,?GRM155R60J475ME87D?,100,
1,47 nF 50v,C-USC0402K,C0402K,C5,?CGA2B3X7R1H473M050BD?,100,
1,500 mA 60v,DIODE-SOD123,SOD123,D1,?MBR0580S1-7?,50,
1,5267-3,5267-3,5267-3,CAN,0022057035?,13,
1,54.9k 1%,R-US_R0402,R0402,R1,?RC0402FR-0754K9L?,100,
1,600r,INDUCTOR0603,603,CHOKE,?PE-0603FB601ST?,50,
1,8 Mhz Ceramic Resonator,CSTCE,CSTCE,XT1,?CSTNE8M00GH5L000R0?,50,
1,DRV8323RH,DRV8323RH,QFN50P700X700X90-49N,U$1,?DRV8323RSRGZT?,13,
2,G,LED0603,LED-0603,"LED1, LED2",LTST-C191KRKT?,50,
1,3.3V 500 mA LDO,LDFM,DFN6-3X3,LDFM33PUR,?LDFM33PUR?,13,
1,MA700,MA700,QFN16,U$11,?MA700GQ-Z?,13,
1,MCP2542,MCP2542,TDFN,U$6,?MCP2542FDT-H/MNY?,13,
1,SM07B-SRSS-TB,SM07B-SRSS-TB,SM07B-SRSS-TB,PROG,?SM07B-SRSS-TB(LF)(SN)?,13,
1,STM32F446RET6,STM32F446RET6,TQFP64,U$3,?STM32F446RET6?,13,
6,TPH,TPH,"TRANS_TPH5900CNH,L1Q","Q1, Q2, Q3, Q4, Q5, Q6","?TPH2R506PL,L1Q?",65,
1,XT30,XT30,XT30_HORIZONTAL,U$9,,,
3,dnp,C-USC0402K,C0402K,"YCAP1, YCAP2, YCAP3",,,
,,,,,,,
,,,,,,,
Assembly QTY,,,,,,,
10,,,,,,,
